scope,cultivo,variable,trat_1,trat_2,trat_1_label,trat_2_label,n_1,n_2,cohens_d,hedges_g,abs_hedges_g
by_crop,Lechuga crespa,diametro_cm,T2,T3,La Molina,FAO,5,5,-0.49044318851231716,-0.44298094446273806,0.44298094446273806
by_crop,Lechuga crespa,diametro_cm,T1,T4,INIA,Hidroponika,5,5,-0.4904293135562899,-0.4429684122443909,0.4429684122443909
by_crop,Lechuga crespa,longitud_raiz_cm,T1,T4,INIA,Hidroponika,5,5,0.6648052964647091,0.6004693000326404,0.6004693000326404
by_crop,Lechuga crespa,longitud_raiz_cm,T1,T2,INIA,La Molina,5,5,0.6267792842597705,0.5661232244926959,0.5661232244926959
by_crop,Lechuga crespa,longitud_raiz_cm,T3,T4,FAO,Hidroponika,5,5,0.15133905358108377,0.13669333871839823,0.13669333871839823
by_crop,Lechuga crespa,longitud_raiz_cm,T2,T3,La Molina,FAO,5,5,-0.14260346187493017,-0.12880312685477563,0.12880312685477563
by_crop,Lechuga crespa,longitud_raiz_cm,T1,T3,INIA,FAO,5,5,0.1030697818691775,0.09309528684957967,0.09309528684957967
by_crop,Lechuga crespa,longitud_raiz_cm,T2,T4,La Molina,Hidroponika,5,5,0.01989705038764468,0.017971529382388742,0.017971529382388742
by_crop,Lechuga crespa,num_hojas,T1,T2,INIA,La Molina,5,5,-3.177779997779223,-2.8702529012199434,2.8702529012199434
by_crop,Lechuga crespa,num_hojas,T1,T4,INIA,Hidroponika,5,5,-2.939387691339814,-2.654930817984348,2.654930817984348
by_crop,Lechuga crespa,num_hojas,T1,T3,INIA,FAO,5,5,-1.903989187252603,-1.7197321691313832,1.7197321691313832
by_crop,Lechuga crespa,num_hojas,T3,T4,FAO,Hidroponika,5,5,-1.0615820843152588,-0.9588483342202337,0.9588483342202337
by_crop,Lechuga crespa,num_hojas,T2,T3,La Molina,FAO,5,5,0.846780394811451,0.7648339049909879,0.7648339049909879
by_crop,Lechuga crespa,num_hojas,T2,T4,La Molina,Hidroponika,5,5,-0.5739440431835509,-0.5184010712625621,0.5184010712625621
