,,,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g
,,,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
cod_tratamiento,tratamiento,cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,LA MOLINA,Lechuga seda,5,13.76,0.7092249290598859,12.9,13.8,14.5,5,32.4,4.8270073544588685,26.0,34.0,38.0,5,22.28,1.1189280584559493,20.5,22.5,23.3,5,20.2,6.098770367869247,14.4,18.4,29.7,5,369.8,31.838655750518107,325.0,371.0,412.0
T4,FAO,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,FAO,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,FAO,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,FAO,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,HIDROPONIKA,Acelga,5,18.94,3.1117519181322915,16.6,17.5,24.2,5,12.6,4.774934554525329,8.0,12.0,20.0,5,24.62,5.678644204385411,17.6,23.1,32.7,5,22.919999999999998,4.442634353623985,15.4,23.7,26.8,5,123.2,26.090228055729987,99.0,128.0,162.0
T4,HIDROPONIKA,Cebolla china,5,19.98,0.8167006795638178,18.9,20.0,21.1,5,6.0,0.7071067811865476,5.0,6.0,7.0,5,1.818,0.14131525041551599,1.61,1.87,1.95,5,10.0,0.3535533905932741,9.5,10.1,10.4,5,36.239999999999995,2.123205124334433,33.6,36.4,39.0
T4,HIDROPONIKA,Lechuga crespa,5,16.34,1.1013627921806688,15.1,16.2,18.1,5,27.2,3.2710854467592254,23.0,27.0,32.0,5,21.44,2.286482013924448,17.6,21.8,23.6,5,20.4,1.9634153916071861,18.3,20.2,22.6,5,242.6,43.50632137977193,189.0,233.0,289.0
T4,HIDROPONIKA,Lechuga seda,5,11.74,0.5319774431308147,11.3,11.4,12.5,5,45.8,6.300793600809345,39.0,45.0,56.0,5,18.4,1.5556349186104055,16.4,18.6,20.4,5,17.54,1.8460769214742914,15.1,17.9,19.7,5,251.4,19.47562579225633,224.0,261.0,269.0
T4,INIA SUMAC-YUYAYQUI,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,INIA SUMAC-YUYAYQUI,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,INIA SUMAC-YUYAYQUI,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,INIA SUMAC-YUYAYQUI,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,LA MOLINA,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,LA MOLINA,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,LA MOLINA,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,LA MOLINA,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
